,Country,Score,Pos.,short_name,long_name,nationality,movement_acceleration,movement_agility,movement_balance,power_jumping,pace,movement_reactions,movement_sprint_speed,power_stamina,power_strength
16,Uruguay,3,5,C. Sánchez,Carlos Andrés Sánchez Arcosa,Uruguay,87,81,77,75,88.0,80,89,89,61
17,Uruguay,3,5,G. Pereiro,Gastón Rodrigo Pereiro López,Uruguay,74,74,56,70,75.0,74,76,72,75
18,Uruguay,3,5,S. Cristóforo,Sebastián Carlos Cristóforo Pepe,Uruguay,70,76,85,72,65.0,72,60,76,66
19,Uruguay,3,5,M. Pereyra,Mauricio Ernesto Pereyra Antonini,Uruguay,76,94,89,53,73.0,75,70,73,58
20,Uruguay,3,5,B. Fornaroli,Bruno Fornaroli Mezza,Uruguay,80,79,80,70,78.0,76,77,73,76
21,Uruguay,3,5,L. Torreira,Lucas Torreira Di Pascua,Uruguay,79,85,93,32,77.0,73,75,79,64
22,Uruguay,3,5,S. García,Santiago Damián García Correa,Uruguay,74,64,66,72,72.0,66,71,74,75
23,Uruguay,3,5,C. Rodríguez,Cristian Gabriel Rodríguez Barrotti,Uruguay,70,67,72,70,71.0,72,71,69,71
24,Uruguay,3,5,G. Castro,Gonzalo Castro Irizábal,Uruguay,74,77,82,68,72.0,80,70,57,58
25,Uruguay,3,5,A. Hernández,Abel Mathías Hernández Platero,Uruguay,85,81,68,73,83.0,74,82,69,76
26,Uruguay,3,5,M. Britos,Miguel Ángel Britos Cabrera,Uruguay,48,49,54,83,50.0,68,51,62,79
27,Uruguay,3,5,S. Sosa,Carlos Sebastián Sosa Silva,Uruguay,40,60,50,65,,73,42,38,71
28,Uruguay,3,5,M. Britos,Matías Britos Cardoso,Uruguay,83,85,84,92,83.0,71,83,81,64
29,Uruguay,3,5,F. Ricca,Federico Ricca Rostagnol,Uruguay,73,56,66,53,72.0,72,72,78,65
30,Uruguay,3,5,E. Velázquez,Emiliano Daniel Velázquez Maldonado,Uruguay,63,34,53,78,55.0,68,49,69,75
31,Uruguay,3,5,A. González,Álvaro Rafael González Luengo,Uruguay,75,72,70,72,74.0,75,74,75,68
32,Uruguay,3,5,D. Vera,Diego Daniel Vera Méndez,Uruguay,70,75,65,72,65.0,66,61,75,77
33,Uruguay,3,5,J. Urretaviscaya,Jonathan Matías Urretaviscaya da Luz,Uruguay,84,77,74,66,85.0,72,85,70,57
34,Uruguay,3,5,R. Mora,Rodrigo Nicanor Mora Núñez,Uruguay,77,80,82,86,79.0,75,80,79,63
35,Uruguay,3,5,D. Suárez,Damián Nicolás Suárez Suárez,Uruguay,77,81,74,80,81.0,68,84,84,74
36,Uruguay,3,5,N. Vikonis,Nicolás Vikonis Mureau,Uruguay,39,38,42,60,,68,42,34,60
37,Uruguay,3,5,M. Gómez,Maximiliano Gómez González,Uruguay,64,52,55,64,66.0,74,67,68,77
38,Uruguay,3,5,D. Rodríguez,Diego Martín Rodríguez Berrini,Uruguay,71,72,75,79,62.0,72,55,77,63
39,Uruguay,3,5,B. Alemán,Brahian Milton Alemán Athaydes,Uruguay,81,76,65,69,82.0,69,83,69,72
40,Uruguay,3,5,M. Cauteruccio,Martín Cauteruccio Rodríguez,Uruguay,70,74,66,76,70.0,71,70,69,73
41,Uruguay,3,5,G. Alcoba,Gerardo Alcoba Rebollo,Uruguay,67,67,65,65,68.0,70,68,68,78
42,Uruguay,3,5,H. Menosse,Jorge Hernán Menosse Acosta,Uruguay,60,34,72,64,63.0,65,66,71,83
43,Uruguay,3,5,A. Silva,Alejandro Daniel Silva González,Uruguay,74,78,72,64,76.0,74,77,82,57
44,Uruguay,3,5,C. Mayada,Camilo Sebastián Mayada Mesa,Uruguay,92,75,78,70,91.0,72,90,83,69
45,Uruguay,3,5,J. Rodríguez,Jonathan Javier Rodríguez Portillo,Uruguay,87,75,77,69,85.0,70,83,85,74
46,Uruguay,3,5,M. Santos,Michael Nicolás Santos Rosadilla,Uruguay,69,54,77,74,67.0,74,66,53,64
47,Uruguay,3,5,G. Silva,Gastón Alexis Silva Perdomo,Uruguay,69,67,58,59,71.0,66,72,67,77
48,Uruguay,3,5,P. Granoche,Pablo Mariano Granoche Louro,Uruguay,67,71,62,86,67.0,68,67,74,86
49,Uruguay,3,5,L. Álvarez,Lucero Gonzalo Álvarez Martínez,Uruguay,52,62,51,70,,69,59,43,68
50,Uruguay,3,5,M. Aguirregaray,Matías Aguirregaray Guruceaga,Uruguay,76,70,69,63,80.0,70,83,73,74
51,Uruguay,3,5,M. Goicoechea,Mauro Daniel Goicoechea Furia,Uruguay,47,33,46,66,,70,52,37,66
52,Uruguay,3,5,W. Camacho,Washington Fernando Camacho Martínez,Uruguay,73,73,77,56,75.0,72,76,70,65
53,Uruguay,3,5,L. Cabrera,Leandro Daniel Cabrera Sasía,Uruguay,63,67,56,90,66.0,59,68,79,82
54,Uruguay,3,5,D. Fagundez,Diego Santiago Fagúndez Pepe,Uruguay,83,87,83,57,80.0,69,77,74,48
55,Uruguay,3,5,M. Rodriguez,Maximiliano Rodríguez Maeso,Uruguay,67,74,70,51,68.0,55,68,66,58
56,Uruguay,3,5,D. Texeira,César David Texeira Torres,Uruguay,67,70,62,80,68.0,70,69,73,74
57,Uruguay,3,5,M. Silva,Marcelo Andrés Silva Fernández,Uruguay,46,60,44,82,49.0,57,52,63,85
58,Uruguay,3,5,S. Viera,Mario Sebastián Viera Galain,Uruguay,41,45,51,69,,76,37,28,60
59,Uruguay,3,5,E. Arévalo Ríos,Egídio Raúl Arévalo Ríos,Uruguay,65,72,71,82,66.0,69,66,78,73
60,Uruguay,3,5,C. Grossmüller,Carlos Javier Grossmüller,Uruguay,47,68,58,65,55.0,66,62,61,78
61,Uruguay,3,5,E. Conde,Esteban Néstor Conde Quintana,Uruguay,36,29,31,33,,68,26,28,26
62,Uruguay,3,5,R. Herrera,Robert Fabián Herrera Rosas,Uruguay,68,45,51,60,70.0,63,72,58,91
63,Uruguay,3,5,N. Nández,Nahitan Michel Nández Acosta,Uruguay,71,62,73,75,70.0,68,69,64,62
64,Uruguay,3,5,F. Valverde,Federico Santiago Valverde Dipetta,Uruguay,58,54,65,48,60.0,66,62,57,58
65,Uruguay,3,5,M. Saracchi,Marcelo Josemir Saracchi Pintos,Uruguay,71,74,71,69,72.0,72,72,75,67
66,Uruguay,3,5,M. Olivera,Maximiliano Martín Olivera De Andrea,Uruguay,70,65,63,61,71.0,63,72,70,68
67,Uruguay,3,5,M. Mier,Henry Matías Mier Codina,Uruguay,65,77,55,53,62.0,60,60,75,74
68,Uruguay,3,5,M. Risso,Mario Pablo Risso Caffaro,Uruguay,32,33,44,62,32.0,56,32,65,90
69,Uruguay,3,5,R. Bentancur,Rodrigo Bentancur Colmán,Uruguay,62,67,68,70,64.0,63,66,84,64
70,Uruguay,3,5,C. González,Cristian Marcelo González Tassano,Uruguay,67,61,56,76,70.0,59,72,64,69
71,Uruguay,3,5,E. Cabaco,Erick Cathriel Cabaco Almada,Uruguay,68,56,49,68,66.0,55,64,60,70
72,Uruguay,3,5,M. Arambarri,Mauro Wilney Arambarri Rosa,Uruguay,54,61,73,60,57.0,64,59,66,65
73,Uruguay,3,5,B. Lozano,Brian Avelino Lozano Aparicio,Uruguay,82,79,78,74,83.0,54,83,63,42
74,Uruguay,3,5,M. Sigales,Maximiliano Sigales Straneo,Uruguay,65,62,67,65,64.0,62,64,66,73
75,Uruguay,3,5,G. Brugman,Gastón Brugman,Uruguay,73,80,75,53,70.0,71,67,71,59
76,Uruguay,3,5,N. Milesi,Nicolás Milesi Van Vommel,Uruguay,66,68,62,71,64.0,65,63,76,75
77,Uruguay,3,5,S. Rochet,Sergio Ramón Rochet Álvarez,Uruguay,49,30,48,60,,68,48,39,67
78,Uruguay,3,5,C. Techera,Cristian Rafael Techera Cribelli,Uruguay,80,90,94,34,77.0,64,75,68,32
79,Uruguay,3,5,F. Píriz,Facundo Julián Píriz González,Uruguay,60,58,60,83,63.0,72,65,76,77
80,Uruguay,3,5,M. Abero,Mathías Nicolás Abero Villan,Uruguay,68,66,52,68,72.0,74,75,75,88
81,Uruguay,3,5,W. López,Wálter Alberto López Gasco,Uruguay,66,45,36,60,67.0,72,68,81,70
82,Uruguay,3,5,G. Kagelmacher,Gary Christofer Kagelmacher Pérez,Uruguay,71,67,63,70,72.0,63,72,73,71
83,Uruguay,3,5,M. Olivera,Mathías Olivera Miramontes,Uruguay,64,53,57,64,63.0,68,63,61,61
84,Uruguay,3,5,F. Avenatti,Felipe Nicolás Avenatti Dovillabichus,Uruguay,58,34,33,80,62.0,63,66,67,90
85,Uruguay,3,5,M. Affonso,Mauricio Affonso Prieto,Uruguay,67,52,57,64,68.0,61,69,81,86
86,Uruguay,3,5,J. Aja,José Manuel Aja Livchich,Uruguay,69,58,53,70,67.0,61,66,72,80
87,Uruguay,3,5,A. Villete,Álvaro Villete Melgar,Uruguay,29,37,32,40,,65,22,20,59
88,Uruguay,3,5,I. Lores Varela,Ignacio Lores Varela,Uruguay,85,81,56,33,84.0,65,84,73,59
89,Uruguay,3,5,L. Burián,Leonardo Fabián Burián Castro,Uruguay,38,66,66,68,,68,41,35,65
90,Uruguay,3,5,D. Poyet,Diego Poyet,Uruguay,61,67,65,60,58.0,65,55,69,66
91,Uruguay,3,5,C. Falletti,César Alejandro Falletti dos Santos,Uruguay,86,85,74,57,88.0,60,90,72,62
92,Uruguay,3,5,M. de los Santos,Matías De los Santos De los Santos,Uruguay,55,48,51,76,59.0,60,62,68,80
93,Uruguay,3,5,S. Ichazo,Salvador Ichazo Fernández,Uruguay,45,55,50,69,,68,45,31,73
94,Uruguay,3,5,C. Rodríguez,Carlos Emilio Rodríguez Rodríguez,Uruguay,45,44,50,59,53.0,73,60,67,82
95,Uruguay,3,5,J. Cabrera,Marcelo Javier Cabrera Rivero,Uruguay,77,66,90,57,80.0,61,82,64,45
96,Uruguay,3,5,R. García,Rafael García Casanova,Uruguay,59,40,56,67,59.0,58,59,65,84
97,Uruguay,3,5,F. Rodríguez,Felipe Jorge Rodríguez Valla,Uruguay,64,63,63,57,65.0,59,66,59,63
98,Uruguay,3,5,V. Sánchez,Vicente Martín Sánchez Bragunde,Uruguay,66,76,75,45,65.0,66,65,33,55
99,Uruguay,3,5,M. Figoli,Mateo Fígoli Martínez,Uruguay,52,60,67,52,55.0,67,58,40,54
100,Uruguay,3,5,J. Ramis,Jhonathan Rafael Ramis Persíncula,Uruguay,73,65,59,53,72.0,68,71,68,61
101,Uruguay,3,5,S. Martínez,Sebastián Rodrigo Martínez Aguirre,Uruguay,32,33,46,32,33.0,52,34,48,91
102,Uruguay,3,5,S. Romero,Santiago Ernesto Romero Fernández,Uruguay,78,64,65,33,74.0,64,71,85,70
103,Uruguay,3,5,J. Ardaiz,Joaquín Matías Ardaiz de los Santos,Uruguay,67,61,57,60,69.0,53,71,56,78
104,Uruguay,3,5,S. Gorga,Sebastián Gorga Nogueira,Uruguay,69,63,70,75,70.0,57,71,70,72
105,Uruguay,3,5,D. Zabala,Diego Martín Zabala Morales,Uruguay,70,77,75,65,69.0,45,69,59,69
106,Uruguay,3,5,N. Mezquida,Gabriel Nicolás Mezquida Sero,Uruguay,74,85,85,45,66.0,64,59,55,45
107,Uruguay,3,5,A. Luna,Adrián Nicolás Luna Retamar,Uruguay,79,90,89,70,78.0,62,77,47,35
108,Uruguay,3,5,A. Navarro,Álvaro Damián Navarro Bica,Uruguay,41,55,51,78,48.0,65,53,47,80
109,Uruguay,3,5,H. Pereira,Hamilton Miguel Pereira Ferrón,Uruguay,70,68,63,68,70.0,64,70,90,76
110,Uruguay,3,5,E. Tellechea,Emiliano Mathias Tellechea,Uruguay,70,67,79,60,71.0,65,72,79,69
111,Uruguay,3,5,S. Bueno,Santiago Ignacio Bueno Sciutto,Uruguay,54,49,51,68,56.0,53,58,63,62
112,Uruguay,3,5,F. Acosta,Franco Acosta Machado,Uruguay,73,65,71,68,70.0,68,67,38,40
113,Uruguay,3,5,N. Dibble,Nicolás Ecequiel Dibble Aristimuno,Uruguay,69,73,74,69,68.0,65,68,67,45
114,Uruguay,3,5,C. Tabó,Christian Alejandro Tabó Hornos,Uruguay,77,74,73,66,78.0,51,78,65,58
115,Uruguay,3,5,A. Balboa,Adrián Martín Balboa Camacho,Uruguay,54,55,54,69,55.0,58,55,64,80
116,Uruguay,3,5,L. Olaza,Lucas René Olaza Catrofe,Uruguay,66,53,78,59,64.0,58,63,69,56
117,Uruguay,3,5,M. Calzada,Maximiliano Matías Calzada Fuentes,Uruguay,73,75,81,62,74.0,63,75,68,58
118,Uruguay,3,5,P. Cáceres,Pablo Domingo Cáceres Rodríguez,Uruguay,69,62,66,71,68.0,64,68,64,72
119,Uruguay,3,5,A. Fernández,Álvaro Fernández Gay,Uruguay,69,65,59,62,69.0,63,69,66,53
120,Uruguay,3,5,P. Míguez,Pablo Nicolás Míguez Farre,Uruguay,65,57,54,59,62.0,61,60,74,72
121,Uruguay,3,5,M. Castro,Matías Fidel Castro Fuentes,Uruguay,45,60,60,66,,65,47,28,31
122,Uruguay,3,5,G. Cotugno,Guillermo Gastón Cotugno Lima,Uruguay,83,62,73,74,80.0,58,78,74,60
123,Uruguay,3,5,F. Carballo,Felipe Ignacio Carballo Ares,Uruguay,64,57,71,52,65.0,65,65,65,59
124,Uruguay,3,5,J. Arias,Junior Gabriel Arias Cácerers,Uruguay,58,50,70,67,54.0,52,51,58,51
125,Uruguay,3,5,I. Rivero,José Ignacio Rivero Segade,Uruguay,64,57,65,56,67.0,60,70,74,58
126,Uruguay,3,5,F. Torgnascioli,Franco Luis Torgnascioli Lagreca,Uruguay,24,36,35,55,,56,32,24,62
127,Uruguay,3,5,R. Acosta,Alejandro Rafael Acosta Cabrera,Uruguay,60,67,68,55,61.0,66,61,65,57
128,Uruguay,3,5,S. Silva,Santiago Silva Gerez,Uruguay,57,66,62,62,59.0,64,61,53,59
129,Uruguay,3,5,J. Bava,Jorge Rodrigo Bava,Uruguay,41,35,58,70,,56,40,33,59
130,Uruguay,3,5,D. Riolfo,Diego Nicolás Riolfo Pérez,Uruguay,73,71,76,66,71.0,62,69,60,48
131,Uruguay,3,5,N. De la Cruz,Diego Nicolás De La Cruz Arcosa,Uruguay,71,63,74,61,67.0,60,64,66,54
132,Uruguay,3,5,G. Méndez,Guillermo Andrés Méndez Aguilera,Uruguay,73,71,69,67,69.0,51,65,48,57
133,Uruguay,3,5,N. Varela,César Nicolás Varela Batista,Uruguay,71,72,74,62,70.0,60,70,51,46
134,Uruguay,3,5,M. González,Martín Alexis González Crespo De Machado,Uruguay,62,59,64,72,65.0,65,68,69,66
135,Uruguay,3,5,A. Hernández,Aníbal Gabriel Hernández De Los Santos,Uruguay,62,56,74,52,64.0,65,66,41,58
136,Uruguay,3,5,J. Sandoval,Jonathan Alexis Sandoval Rojas,Uruguay,70,69,71,64,72.0,61,74,71,66
137,Uruguay,3,5,A. Dávila,Fabián Agustín Dávila Silva,Uruguay,60,56,70,68,57.0,53,55,51,53
138,Uruguay,3,5,N. Schiappacasse,Nicolás Javier Schiappacasse Oliva,Uruguay,64,62,65,42,68.0,53,72,55,52
139,Uruguay,3,5,J. Báez,Jaime Báez Stábile,Uruguay,72,66,65,69,70.0,55,68,51,53
140,Uruguay,3,5,N. Albarracín,Nicolás Gabriel Albarracín Basil,Uruguay,63,62,65,54,69.0,66,73,44,54
141,Uruguay,3,5,F. Carvalho,Luis Felipe Carvalho da Silva,Uruguay,64,29,47,78,73.0,57,80,50,93
142,Uruguay,3,5,J. Aguirre,Horacio Joaquín Aguirre Santellán,Uruguay,70,56,62,64,64.0,69,59,72,74
143,Uruguay,3,5,F. Olivera,Federico Vicente Olivera Núñez,Uruguay,53,46,55,62,54.0,58,55,70,72
144,Uruguay,3,5,M. Merentiel,Miguel Ángel Merentiel Serrano,Uruguay,72,69,73,65,70.0,57,68,54,51
145,Uruguay,3,5,F. Barceló,Facundo Barcelo Viera,Uruguay,72,73,74,80,73.0,50,74,47,57
146,Uruguay,3,5,S. Martínez,Santiago Gabriel Martínez Pintos,Uruguay,67,65,76,66,68.0,61,68,75,72
147,Uruguay,3,5,J. Iglesias,Jonathan Damián Iglesias Abreu,Uruguay,68,72,81,36,68.0,51,68,57,63
148,Uruguay,3,5,M. Santos,Matías Joaquín Santos Arostegui,Uruguay,64,65,67,62,64.0,57,64,58,63
149,Uruguay,3,5,M. Perg,Maximiliano Perg Schneider,Uruguay,57,40,55,69,58.0,48,58,60,61
150,Uruguay,3,5,G. Freitas,Gonzalo Gastón Freitas Silva,Uruguay,66,57,58,63,65.0,59,64,67,62
151,Uruguay,3,5,J. Ramos,Juan Manuel Ramos Pintos,Uruguay,61,62,64,60,60.0,50,59,57,59
152,Uruguay,3,5,F. Rodríguez Calleriza,Facundo Rodríguez Calleriza,Uruguay,74,53,57,58,69.0,49,65,55,56
153,Russia,3,8,Mário Fernandes,Mário Figueira Fernandes,Russia,79,79,55,83,84.0,80,88,81,75
154,Russia,3,8,F. Smolov,Fedor Smolov,Russia,89,75,66,67,87.0,74,85,74,75
155,Russia,3,8,A. Dzagoev,Alan Dzagoev,Russia,81,71,72,74,77.0,80,73,77,65
156,Russia,3,8,I. Smolnikov,Igor Smolnikov,Russia,84,80,76,85,87.0,77,90,93,68
157,Russia,3,8,O. Shatov,Oleg Shatov,Russia,85,83,78,59,88.0,77,90,73,66
158,Russia,3,8,S. Kritsyuk,Stanislav Kritsyuk,Russia,49,36,41,69,,73,47,37,67
159,Russia,3,8,A. Kokorin,Aleksandr Kokorin,Russia,85,82,72,74,84.0,75,83,76,67
160,Russia,3,8,A. Samedov,Aleksandr Samedov,Russia,81,78,73,64,80.0,78,80,82,68
161,Russia,3,8,I. Denisov,Igor Denisov,Russia,67,77,75,70,66.0,75,65,85,62
162,Russia,3,8,I. Akinfeev,Igor Akinfeev,Russia,51,53,45,62,,67,50,35,72
163,Russia,3,8,V. Berezutskiy,Vasiliy Berezutskiy,Russia,52,34,45,69,52.0,70,52,53,85
164,Russia,3,8,A. Lunev,Andrey Lunev,Russia,58,36,50,60,,72,54,27,70
165,Russia,3,8,D. Cheryshev,Denis Cheryshev,Russia,78,76,74,75,80.0,75,82,66,67
166,Russia,3,8,S. Ignashevich,Sergey Ignashevich,Russia,33,63,57,54,34.0,70,34,50,80
167,Russia,3,8,S. Ryzhikov,Sergey Ryzhikov,Russia,40,59,28,60,,75,35,32,66
168,Russia,3,8,Guilherme,Guilherme Alvim Marinato,Russia,37,54,30,62,,74,40,34,62
169,Russia,3,8,D. Glushakov,Denis Glushakov,Russia,71,67,74,80,69.0,76,68,80,71
170,Russia,3,8,A. Dzyuba,Artem Dzyuba,Russia,66,50,32,60,65.0,76,65,83,93
171,Russia,3,8,P. Mamaev,Pavel Mamaev,Russia,79,69,72,77,78.0,76,78,74,59
172,Russia,3,8,R. Zobnin,Roman Zobnin,Russia,74,70,65,63,76.0,76,78,90,63
173,Russia,3,8,A. Berezutskiy,Alexey Berezutskiy,Russia,34,33,46,66,46.0,62,55,55,86
174,Russia,3,8,A. Golovin,Aleksandr Golovin,Russia,80,75,65,63,82.0,69,83,78,54
175,Russia,3,8,Y. Lodygin,Yuriy Lodygin,Russia,49,34,51,53,,69,40,27,71
176,Russia,3,8,M. Kerzhakov,Mikhail Kerzhakov,Russia,38,28,31,52,,72,33,32,73
177,Russia,3,8,R. Yanbaev,Renat Yanbayev,Russia,92,75,73,70,89.0,72,87,80,60
178,Russia,3,8,Y. Zhirkov,Yuriy Zhirkov,Russia,76,77,71,54,75.0,71,75,78,67
179,Russia,3,8,A. Belenov,Aleksandr Belenov,Russia,54,44,28,71,,70,47,34,62
180,Russia,3,8,A. Kasaev,Alan Kasaev,Russia,82,76,81,57,81.0,77,81,58,72
181,Russia,3,8,D. Tarasov,Dmitriy Tarasov,Russia,53,62,43,75,60.0,69,65,75,84
182,Russia,3,8,G. Dzhikiya,Georgiy Dzhikiya,Russia,91,53,60,64,82.0,67,75,64,85
183,Russia,3,8,D. Poloz,Dmitriy Poloz,Russia,81,78,75,68,83.0,77,85,75,68
184,Russia,3,8,G. Schennikov,Georgiy Schennikov,Russia,84,79,72,72,81.0,70,79,83,63
185,Russia,3,8,O. Ivanov,Oleg Ivanov,Russia,69,56,42,62,69.0,79,69,81,82
186,Russia,3,8,R. Shishkin,Roman Shishkin,Russia,77,77,72,74,75.0,75,73,73,59
187,Russia,3,8,A. Eschenko,Andrey Eshchenko,Russia,78,78,86,50,80.0,73,81,82,67
188,Russia,3,8,S. Dzhanaev,Soslan Dzhanaev,Russia,39,47,43,72,,69,47,28,67
189,Russia,3,8,Y. Gazinskiy,Yuriy Gazinskiy,Russia,63,59,58,70,66.0,65,68,80,66
190,Russia,3,8,A. Miranchuk,Aleksey Miranchuk,Russia,71,77,67,58,73.0,68,75,74,68
191,Russia,3,8,A. Selikhov,Aleksandr Selikhov,Russia,29,35,46,65,,65,48,24,62
192,Russia,3,8,D. Kuzyaev,Daler Kuzyaev,Russia,70,74,73,60,71.0,67,71,75,59
193,Russia,3,8,M. Kanunnikov,Maksim Kanunnikov,Russia,82,76,66,91,85.0,73,87,81,77
194,Russia,3,8,I. Novoseltsev,Ivan Novoseltsev,Russia,64,42,52,71,65.0,69,66,70,75
195,Russia,3,8,I. Tsallagov,Ibragim Tsallagov,Russia,82,83,71,70,81.0,69,81,90,65
196,Russia,3,8,A. Sinitsyn,Andrey Sinitsyn,Russia,44,43,37,72,,68,39,35,74
197,Russia,3,8,V. Vasin,Viktor Vasin,Russia,69,37,43,65,67.0,69,66,71,80
198,Russia,3,8,A. Erokhin,Aleksandr Erokhin,Russia,56,62,57,64,63.0,74,69,87,73
199,Russia,3,8,K. Panchenko,Kirill Panchenko,Russia,75,69,65,59,76.0,71,76,75,74
200,Russia,3,8,A. Semenov,Andrey Semenov,Russia,55,43,54,78,53.0,70,52,75,81
201,Russia,3,8,V. Gabulov,Vladimir Gabulov,Russia,58,50,53,69,,74,55,38,70
202,Russia,3,8,A. Rebrov,Artem Rebrov,Russia,46,44,34,72,,65,28,24,68
203,Russia,3,8,I. Maksimov,Ilya Maksimov,Russia,68,68,68,59,57.0,73,48,67,69
204,Russia,3,8,K. Nababkin,Kirill Nababkin,Russia,77,63,67,73,82.0,63,86,80,72
205,Russia,3,8,D. Kombarov,Dmitriy Kombarov,Russia,75,76,72,73,78.0,72,80,85,59
206,Russia,3,8,V. Ignatiev,Vladislav Ignatiev,Russia,81,70,68,63,80.0,68,79,66,65
207,Russia,3,8,A. Yusupov,Artur Yusupov,Russia,66,73,71,40,66.0,69,66,82,64
208,Russia,3,8,I. Kutepov,Ilya Kutepov,Russia,32,48,55,34,33.0,75,33,70,82
209,Russia,3,8,R. Kambolov,Ruslan Kambolov,Russia,67,70,68,78,66.0,69,66,66,75
210,Russia,3,8,S. Petrov,Sergey Petrov,Russia,75,70,75,64,76.0,73,77,74,60
211,Russia,3,8,V. Bystrov,Vladimir Bystrov,Russia,88,85,73,59,89.0,73,89,67,63
212,Russia,3,8,O. Kuzmin,Oleg Kuzmin,Russia,78,80,74,73,74.0,70,71,55,60
213,Russia,3,8,A. Anyukov,Aleksandr Anyukov,Russia,66,67,71,77,70.0,72,74,49,51
214,Russia,3,8,A. Bukharov,Aleksandr Bukharov,Russia,34,34,29,34,53.0,75,69,68,93
215,Russia,3,8,A. Shunin,Anton Shunin,Russia,43,42,48,64,,68,39,30,64
216,Russia,3,8,F. Kudryashov,Fedor Kudryashov,Russia,71,74,64,70,72.0,74,73,72,73
217,Russia,3,8,K. Rausch,Konstantin Rausch,Russia,79,75,70,74,79.0,74,79,77,72
218,Russia,3,8,R. Neustädter,Roman Neustädter,Russia,47,54,46,65,44.0,72,42,77,74
219,Russia,3,8,A. Ionov,Aleksey Ionov,Russia,80,81,71,67,79.0,63,79,75,51
220,Russia,3,8,D. Yurchenko,David Yurchenko,Russia,46,49,42,66,,71,53,20,73
221,Russia,3,8,E. Prib,Edgar Prib,Russia,77,72,76,72,77.0,72,77,78,68
222,Russia,3,8,M. Ozdoev,Magomed Ozdoev,Russia,71,80,74,73,74.0,72,77,76,77
223,Russia,3,8,P. Mogilevets,Pavel Mogilevets,Russia,68,70,72,80,71.0,71,74,80,49
224,Russia,3,8,A. Zotov,Aleksandr Zotov,Russia,75,69,77,89,77.0,71,78,72,61
225,Russia,3,8,T. Burlak,Taras Burlak,Russia,62,61,58,73,65.0,70,67,68,72
226,Russia,3,8,S. Pesyakov,Sergey Pesyakov,Russia,54,49,28,66,,66,36,30,73
227,Russia,3,8,A. Khubulov,Arsen Khubulov,Russia,77,76,71,60,84.0,71,89,73,58
228,Russia,3,8,D. Stotskiy,Dmitriy Stotskiy,Russia,82,91,86,72,80.0,68,79,84,35
229,Russia,3,8,V. Granat,Vladimir Granat,Russia,50,65,56,71,43.0,72,37,63,71
230,Russia,3,8,R. Utsiev,Rizvan Utsiev,Russia,77,78,81,70,74.0,66,72,71,55
231,Russia,3,8,E. Gorodov,Evgeniy Gorodov,Russia,50,65,47,50,,59,42,35,68
232,Russia,3,8,E. Nabiullin,Elmir Nabiullin,Russia,92,72,80,64,91.0,62,91,72,55
233,Russia,3,8,Z. Sadaev,Zaur Sadaev,Russia,78,75,66,81,74.0,66,70,60,73
234,Russia,3,8,A. Sapeta,Aleksandr Sapeta,Russia,66,64,58,66,64.0,70,63,80,71
235,Russia,3,8,A. Kolomeytsev,Aleksandr Kolomeytsev,Russia,58,62,62,70,64.0,67,68,83,76
236,Russia,3,8,A. Kozlov,Aleksey Kozlov,Russia,71,63,57,53,73.0,62,75,75,74
