short_name,long_name,player_positions,overall,potential,age,height_cm,weight_kg,club_team_id,club_position,club_jersey_number,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
D. Godín,Diego Roberto Godín Leal,CB,90,90,32,187,78,240,LCB,2,60,Uruguay,1377,RCB,3,Right,3,2,3,Medium/High,Lean (185+),Yes,68,48,65,62,89,84,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,90,43,88,88,48,52,50,82,90,89,89
T. Kroos,Toni Kroos,"CM, CDM",90,90,28,183,76,243,LCM,8,21,Germany,1337,LDM,8,Right,5,3,4,Medium/Medium,Normal (170-185),Yes,67,82,89,82,74,69,88,76,54,92,82,79,86,84,93,90,68,66,70,89,71,87,30,75,73,92,60,81,79,86,73,85,68,82,69
R. Lewandowski,Robert Lewandowski,ST,90,90,29,184,80,21,ST,9,37,Poland,1353,LS,9,Right,4,4,4,High/Medium,Normal (170-185),Yes,78,89,75,85,41,82,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19
T. Courtois,Thibaut Courtois,GK,90,91,26,199,96,243,SUB,25,7,Belgium,1325,GK,1,Left,3,1,4,Medium/Medium,Unique,Yes,,,,,,,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16
J. Oblak,Jan Oblak,GK,90,93,25,188,87,240,GK,13,44,Slovenia,1361,SUB,1,Right,3,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18
G. Chiellini,Giorgio Chiellini,CB,89,89,33,187,85,45,LCB,3,27,Italy,1343,SUB,3,Left,2,2,4,Medium/High,Normal (185+),Yes,69,46,56,58,91,82,58,33,84,59,45,58,60,31,59,57,65,72,54,82,55,78,89,61,87,49,92,88,28,50,50,84,93,93,90
S. Agüero,Sergio Leonel Agüero del Castillo,ST,89,89,30,173,70,10,ST,10,52,Argentina,1369,SUB,19,Right,4,4,4,High/Medium,Stocky (170-185),Yes,84,89,76,89,28,73,70,93,74,81,85,89,82,72,63,89,88,80,86,89,91,88,81,76,73,82,65,24,92,83,83,90,30,20,12
David Silva,David Josué Jiménez Silva,"CAM, CM",89,89,32,173,67,10,LCM,21,45,Spain,,,,Left,2,4,4,High/Medium,Normal (170-185),Yes,66,74,87,90,50,60,83,73,54,92,80,89,82,76,81,93,69,64,92,87,90,71,64,78,52,73,56,48,88,92,75,92,57,50,29
M. Hummels,Mats Hummels,CB,89,89,29,191,92,21,LCB,5,21,Germany,1337,LCB,5,Right,3,3,4,High/Medium,Normal (185+),Yes,65,58,76,72,90,76,64,55,87,82,60,68,65,53,85,81,62,68,63,88,60,71,68,66,85,51,69,92,56,79,68,91,89,92,90
E. Cavani,Edinson Roberto Cavani Gómez,ST,89,89,31,185,77,73,ST,9,60,Uruguay,1377,RS,21,Right,3,3,4,High/High,Lean (185+),Yes,76,87,72,80,52,83,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39
M. ter Stegen,Marc-André ter Stegen,GK,89,92,26,187,85,241,GK,1,21,Germany,1337,SUB,22,Right,4,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,15,14,11,30,14,17,18,12,38,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10
A. Griezmann,Antoine Griezmann,ST,89,90,27,176,73,240,LS,7,18,France,1335,CAM,7,Left,3,4,4,High/High,Lean (170-185),Yes,86,86,81,89,50,70,82,92,84,82,87,88,84,76,76,90,88,85,90,90,80,80,90,81,62,82,69,35,91,81,74,87,59,43,44
Isco,Francisco Román Alarcón Suárez,"CAM, CM, LW",89,92,26,176,79,243,LW,22,45,Spain,1362,LW,22,Right,3,4,3,High/Medium,Normal (170-185),Yes,72,81,85,93,61,62,75,85,55,89,65,94,88,74,84,95,75,69,87,79,90,69,64,70,59,89,58,66,80,90,76,86,60,64,51
H. Kane,Harry Kane,ST,89,92,24,188,89,18,ST,10,14,England,1318,LS,9,Right,4,3,3,High/High,Normal (185+),Yes,70,90,79,80,47,83,75,94,85,80,82,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38
P. Dybala,Paulo Bruno Exequiel Dybala,"CAM, ST, CF",89,94,24,177,75,45,CAM,10,52,Argentina,1369,SUB,21,Left,3,4,3,High/Medium,Normal (170-185),Yes,85,85,84,91,28,66,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20
N. Kanté,N'Golo Kanté,"CDM, CM",89,90,27,168,68,5,RCM,7,18,France,1335,LDM,13,Right,3,2,3,Medium/High,Normal (170-),Yes,80,66,77,81,87,84,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85
G. Buffon,Gianluigi Buffon,GK,88,88,40,192,92,73,GK,1,27,Italy,,,,Right,2,1,4,Medium/Medium,Normal (185+),Yes,,,,,,,13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11
S. Handanovič,Samir Handanovič,GK,88,88,33,193,92,44,GK,1,44,Slovenia,,,,Right,2,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13
Thiago Silva,Thiago Emiliano da Silva,CB,88,88,33,183,82,73,LCB,2,54,Brazil,,,,Right,3,2,4,High/High,Normal (170-185),Yes,71,54,73,69,88,79,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85
G. Higuaín,Gonzalo Gerardo Higuaín,ST,88,88,30,186,89,47,ST,9,52,Argentina,1369,SUB,9,Right,4,3,4,High/Medium,Normal (170-185),Yes,73,87,70,83,31,74,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18
H. Lloris,Hugo Lloris,GK,88,88,31,188,82,18,GK,1,18,France,1335,GK,1,Left,1,1,4,Medium/Medium,Lean (185+),Yes,,,,,,,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18
G. Bale,Gareth Frank Bale,"RW, ST",88,88,28,185,81,243,RW,11,50,Wales,1367,RS,11,Left,3,4,4,High/Medium,Lean (170-185),Yes,95,88,84,85,58,76,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52
Marcelo,Marcelo Vieira da Silva Júnior,LB,88,88,30,174,80,243,LB,12,54,Brazil,,,,Left,4,5,4,High/Low,Normal (170-185),Yes,82,71,83,90,81,82,90,67,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,75,85,86
Coutinho,Philippe Coutinho Correia,"LW, RW, CM",88,89,26,172,68,241,LW,7,54,Brazil,,,,Right,4,5,3,High/High,Lean (170-185),Yes,81,81,86,91,45,64,79,77,48,88,75,91,91,86,81,92,89,75,92,83,93,83,59,79,61,93,55,30,84,90,70,85,55,44,40
Sergio Busquets,Sergio Busquets i Burgos,"CDM, CM",88,88,29,189,76,241,CDM,5,45,Spain,1362,LCM,5,Right,3,3,4,Medium/Medium,Lean (185+),Yes,43,62,79,78,85,80,62,67,68,88,44,78,66,68,79,85,42,44,66,85,52,61,66,86,77,54,85,87,77,86,60,88,90,86,80
C. Eriksen,Christian Dannemann Eriksen,"CAM, RM, CM",88,91,26,181,76,18,RM,23,13,Denmark,1331,CAM,10,Right,5,4,3,High/Medium,Lean (170-185),Yes,74,82,89,86,53,64,88,80,52,91,76,84,86,87,87,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22
P. Pogba,Paul Pogba,"CM, CDM",88,91,25,191,84,11,LCM,6,18,France,1335,RDM,6,Right,4,5,4,High/Low,Lean (185+),Yes,75,79,86,85,69,87,80,73,73,87,85,87,84,82,90,90,71,78,74,81,64,90,85,90,89,81,78,68,82,87,81,87,67,70,68
L. Insigne,Lorenzo Insigne,LW,88,88,27,163,59,48,LW,24,27,Italy,1343,LW,10,Right,3,4,3,High/Medium,Normal (170-),Yes,90,76,84,91,36,50,86,75,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22
J. Rodríguez,James David Rodríguez Rubio,"CAM, CM, RM",88,89,26,181,78,21,LCM,11,56,Colombia,111109,LM,10,Left,3,4,4,Medium/Medium,Normal (170-185),Yes,72,86,88,86,50,67,90,83,62,89,90,85,89,86,83,90,75,69,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44
Casemiro,Carlos Henrique Venancio Casimiro,CDM,88,91,26,185,84,243,CDM,14,54,Brazil,,,,Right,3,2,3,Medium/High,Normal (185+),Yes,62,69,75,72,87,88,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87
M. Salah,Mohamed Salah Ghaly,RW,88,89,26,175,71,9,RW,11,111,Egypt,111130,RM,10,Left,3,4,3,High/Medium,Unique,Yes,92,84,79,89,45,72,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41
Iniesta,Andrés Iniesta Luján,"CM, LM",87,87,34,171,68,101146,LCM,8,45,Spain,,,,Right,4,4,4,High/Medium,Normal (170-),Yes,69,70,87,90,61,57,77,70,54,92,74,90,80,70,86,94,70,68,79,88,84,65,47,55,58,71,58,66,84,94,71,89,67,57,56
Piqué,Gerard Piqué Bernabéu,CB,87,87,31,194,85,241,RCB,3,45,Spain,,,,Right,3,2,4,High/Medium,Normal (185+),Yes,55,61,69,65,87,76,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84
I. Rakitić,Ivan Rakitić,CM,87,87,30,184,78,241,LCM,4,10,Croatia,,,,Right,3,3,4,High/High,Normal (170-185),Yes,62,84,87,82,72,69,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70
M. Hamšík,Marek Hamšík,CM,87,87,30,183,79,48,CM,17,43,Slovakia,,,,Right,5,3,3,High/Medium,Normal (170-185),Yes,70,80,84,84,72,69,78,79,74,88,79,86,80,72,83,87,69,71,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62
J. Vertonghen,Jan Vertonghen,CB,87,87,31,189,86,18,LCB,5,7,Belgium,1325,LCB,5,Left,3,3,3,High/High,Normal (185+),Yes,63,63,73,72,88,79,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88
D. Mertens,Dries Mertens,"CF, ST",87,87,31,169,61,48,ST,14,7,Belgium,1325,RF,14,Right,4,4,3,High/Low,Normal (170-),Yes,89,83,80,91,34,55,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40
A. Sánchez,Alexis Alejandro Sánchez Sánchez,"LW, LM, ST, CAM",87,87,29,169,74,11,LW,7,55,Chile,111459,LW,7,Right,3,4,4,High/High,Normal (170-),Yes,82,83,79,89,45,77,81,83,73,77,83,90,79,78,75,87,86,79,91,87,87,84,87,83,72,83,79,50,84,83,77,86,38,44,35
P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,ST,87,87,29,187,80,1,ST,14,115,Gabon,,,,Right,4,4,3,Medium/Low,Lean (185+),Yes,94,84,75,80,37,70,77,87,79,77,86,79,78,74,64,82,93,95,76,86,70,81,79,76,76,78,43,48,89,77,76,84,27,25,36
Jordi Alba,Jordi Alba Ramos,LB,87,87,29,170,68,241,LB,18,45,Spain,1362,LB,18,Left,3,3,3,High/Medium,Normal (170-),Yes,93,69,79,83,79,72,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85
C. Immobile,Ciro Immobile,ST,87,87,28,185,85,46,ST,17,27,Italy,1343,SUB,17,Right,4,3,3,High/Medium,Normal (185+),Yes,82,87,63,82,39,76,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,75,76,80,77,40,91,65,78,81,34,33,32
R. Lukaku,Romelu Lukaku Menama,ST,87,89,25,190,94,11,ST,9,7,Belgium,1325,ST,9,Left,4,3,3,Medium/Medium,Stocky (185+),Yes,84,84,76,75,35,87,78,88,87,78,79,81,74,66,74,74,77,90,60,87,46,88,71,84,94,74,76,27,89,76,78,83,30,30,30
K. Navas,Keylor Navas Gamboa,GK,87,87,31,185,80,243,GK,1,72,Costa Rica,,,,Right,3,1,3,Medium/Medium,Normal (185+),Yes,,,,,,,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14
K. Koulibaly,Kalidou Koulibaly,CB,87,90,27,187,89,48,LCB,26,136,Senegal,,,,Right,2,2,3,High/High,Normal (185+),Yes,72,26,46,59,88,86,30,19,81,66,14,60,28,28,48,60,68,75,50,80,40,55,81,71,94,15,87,88,24,34,33,78,91,88,86
M. Icardi,Mauro Emanuel Icardi Rivero,ST,87,90,25,181,75,44,ST,9,52,Argentina,,,,Right,4,3,3,Medium/Low,Normal (170-185),Yes,78,85,61,79,36,72,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20
S. Umtiti,Samuel Yves Umtiti,CB,87,92,24,182,75,241,LCB,23,18,France,1335,LCB,5,Left,3,2,3,Medium/High,Normal (170-185),Yes,72,64,71,72,88,82,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86
K. Mbappé,Kylian Mbappé Lottin,"RW, ST",87,95,19,178,73,73,RW,7,18,France,1335,RM,10,Right,4,5,3,High/Medium,Lean (170-185),Yes,96,81,79,89,39,72,76,86,77,82,78,89,77,63,73,90,96,96,92,85,83,79,75,83,71,76,62,38,85,84,70,86,34,34,32
Fernandinho,Fernando Luiz Rosa,CDM,86,86,33,179,67,10,CDM,25,54,Brazil,,,,Right,4,3,3,Medium/High,Lean (170-185),Yes,67,74,78,79,83,79,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,86,85,80
Naldo,Ronaldo Aparecido Rodrigues,CB,86,86,35,198,91,34,CB,29,54,Brazil,,,,Right,4,2,3,Medium/Medium,Lean (185+),No,63,69,64,61,87,74,45,57,94,76,60,60,52,76,70,68,60,66,46,85,36,92,45,61,83,82,73,83,53,59,60,84,86,90,85
M. Özil,Mesut Özil,"CAM, RM, RW",86,86,29,180,76,1,RM,10,21,Germany,,,,Left,2,4,4,Medium/Low,Lean (170-185),Yes,70,73,86,85,24,58,83,72,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,78,24,16,19
M. Benatia,Medhi Amine El Mouttaqi Benatia,CB,86,86,31,189,94,45,SUB,4,129,Morocco,,,,Right,3,2,3,Medium/High,Normal (185+),Yes,70,45,54,64,87,85,45,47,83,65,44,64,34,27,65,64,67,73,59,82,53,66,85,69,93,24,86,86,38,47,41,82,89,87,85
M. Pjanić,Miralem Pjanić,"CM, CDM",86,86,28,178,72,45,LDM,5,8,Bosnia and Herzegovina,,,,Right,4,3,3,Medium/Medium,Normal (170-185),Yes,66,70,86,86,73,69,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,77,66,82,70,78,70,88,79,86,75,74,70
I. Perišić,Ivan Perišić,LM,86,86,29,186,80,44,LM,44,10,Croatia,,,,Right,5,4,3,Medium/Medium,Lean (185+),Yes,86,80,80,84,62,78,84,79,80,82,81,85,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,86,79,76,80,64,52,54
J. Boateng,Jérôme Boateng,CB,86,86,29,192,90,21,RCB,17,21,Germany,1337,RCB,17,Right,4,2,4,Medium/Medium,Stocky (185+),Yes,73,50,72,65,85,83,69,34,85,75,52,64,53,31,84,70,69,76,56,82,52,78,75,69,91,58,81,81,47,75,46,84,85,87,88
L. Bonucci,Leonardo Bonucci,CB,86,86,31,190,85,45,RCB,19,27,Italy,1343,LCB,19,Right,3,2,3,Low/High,Lean (185+),Yes,61,58,69,70,87,80,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,70,83,65,82,90,38,74,70,86,90,86,80
Azpilicueta,César Azpilicueta Tanco,CB,86,87,28,178,78,5,RB,28,45,Spain,1362,RCB,14,Right,3,2,3,Medium/Medium,Normal (170-185),Yes,76,55,78,73,87,77,81,46,76,81,51,69,68,58,80,79,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86
Thiago,Thiago Alcântara do Nascimento,"CM, CAM, CDM",86,86,27,174,70,21,RCM,6,45,Spain,1362,CAM,10,Right,3,5,3,Medium/Medium,Normal (170-185),Yes,73,74,84,90,67,63,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65
Parejo,Daniel Parejo Muñoz,"CM, CAM, CDM",86,86,29,182,74,461,RCM,10,45,Spain,1362,SUB,21,Right,4,3,2,Medium/Low,Lean (170-185),Yes,47,80,88,79,71,71,84,79,63,90,72,80,89,90,87,84,51,43,66,80,72,79,51,78,72,82,63,81,81,86,83,78,70,71,60
T. Müller,Thomas Müller,"CF, RW, CAM, ST",86,86,28,186,75,21,SUB,25,21,Germany,1337,RM,13,Right,4,3,4,High/High,Lean (185+),Yes,74,83,80,78,50,71,79,87,82,83,84,75,81,59,72,82,73,75,75,92,72,78,81,87,68,80,57,58,93,85,60,83,44,41,44
Douglas Costa,Douglas Costa de Souza,"LM, RW, LW",86,86,27,172,70,45,LM,11,54,Brazil,,,,Left,3,5,3,High/Medium,Normal (170-185),Yes,95,75,81,91,43,65,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34
Alex Sandro,Alex Sandro Lobo Silva,"LB, LM",86,86,27,180,80,45,LB,12,54,Brazil,,,,Left,3,3,3,High/High,Normal (170-185),Yes,85,65,77,81,82,83,84,55,76,81,68,82,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84
N. Matić,Nemanja Matić,"CDM, CM",86,86,29,194,85,11,CDM,31,51,Serbia,,,,Left,3,3,3,Medium/High,Lean (185+),Yes,56,71,79,76,83,83,71,64,74,86,73,80,72,67,84,79,52,59,52,85,50,83,67,84,85,75,81,87,69,75,64,85,85,85,75
N. Otamendi,Nicolás Hernán Gonzalo Otamendi,CB,86,86,30,183,81,10,LCB,30,52,Argentina,1369,RCB,17,Right,3,2,3,High/High,Normal (170-185),Yes,60,57,63,59,86,80,52,54,85,75,57,49,50,39,72,70,59,61,64,79,62,69,92,67,80,56,91,86,51,53,45,84,85,87,86
M. Verratti,Marco Verratti,"CM, CDM",86,89,25,165,60,73,RCM,6,27,Italy,1343,SUB,23,Right,4,4,3,Medium/High,Normal (170-),Yes,65,60,84,89,79,66,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80
R. Varane,Raphaël Varane,CB,86,92,25,191,81,243,RCB,5,18,France,1335,RCB,4,Right,3,2,3,Medium/High,Lean (185+),Yes,84,45,61,64,86,80,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,"CF, ST",86,88,26,181,76,9,ST,9,54,Brazil,,,,Right,4,4,3,High/High,Lean (170-185),Yes,77,83,80,86,61,78,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42
S. Mané,Sadio Mané,"LW, RW",86,87,26,175,69,9,LW,10,136,Senegal,,,,Right,4,4,3,High/Medium,Lean (170-185),Yes,94,80,76,87,42,73,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38
Ederson,Ederson Santana de Moraes,GK,86,90,24,188,86,10,GK,31,54,Brazil,,,,Left,3,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,20,14,14,56,18,23,15,20,55,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8
L. Sané,Leroy Aziz Sané,"LW, RW",86,93,22,183,75,10,LW,19,21,Germany,1337,SUB,10,Left,3,4,2,High/Medium,Lean (170-185),Yes,95,81,78,86,38,70,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35
A. Robben,Arjen Robben,"RM, RW",85,85,34,180,80,21,RM,10,34,Netherlands,,,,Left,2,4,4,High/Low,Normal (170-185),Yes,79,85,81,88,32,62,80,85,51,82,86,89,90,81,71,88,83,76,87,85,90,86,60,64,67,86,47,37,84,83,78,85,30,26,26
Z. Ibrahimović,Zlatan Ibrahimović,ST,85,85,36,195,95,697,RS,9,46,Sweden,,,,Right,4,5,5,Medium/Low,Normal (185+),Yes,59,86,77,78,34,78,73,86,83,79,86,79,82,82,73,84,58,59,74,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24
Pepe,Kléper Laveran de Lima Ferreira,CB,85,85,35,188,81,327,RCB,5,38,Portugal,1354,RCB,3,Right,3,2,4,Medium/High,Lean (185+),Yes,68,51,57,61,85,81,46,46,80,70,23,58,44,47,61,62,65,70,63,83,49,63,76,60,86,56,94,85,40,48,57,79,86,85,82
V. Kompany,Vincent Jean Mpoy Kompany,CB,85,85,32,190,85,10,RCB,4,7,Belgium,1325,CB,4,Right,3,2,4,Medium/High,Normal (185+),Yes,56,54,65,65,85,81,61,45,84,73,46,63,61,52,66,70,52,59,57,87,41,75,72,66,87,55,87,82,41,59,63,81,87,85,84
F. Ribéry,Franck Bilal Ribéry,"LM, LW",85,85,35,170,72,21,LM,7,18,France,,,,Right,4,5,4,Medium/Medium,Normal (170-),Yes,78,76,82,88,30,57,81,76,41,84,80,88,83,81,74,88,79,78,86,84,91,75,34,59,60,72,51,33,80,85,78,85,31,25,26
Filipe Luís,Filipe Luís Kasmirski,LB,85,85,32,182,74,240,LB,3,54,Brazil,,,,Left,3,3,3,High/Medium,Lean (170-185),Yes,75,62,78,78,81,79,86,59,72,80,56,77,74,75,77,83,76,75,75,85,62,71,71,89,74,60,81,84,71,70,65,88,78,84,86
Falcao,Radamel Falcao García Zárate,ST,85,85,32,177,72,69,ST,9,56,Colombia,111109,ST,9,Right,4,3,3,High/Medium,Normal (170-185),Yes,67,84,69,78,43,74,55,87,90,79,85,75,83,73,58,82,69,66,76,87,75,79,91,68,75,80,75,41,90,70,81,87,39,42,19
Miranda,João Miranda de Souza Filho,CB,85,85,33,186,78,44,LCB,25,54,Brazil,,,,Right,3,2,3,Medium/High,Lean (185+),Yes,68,49,60,68,88,76,48,43,80,70,51,67,32,39,69,73,66,69,61,81,57,70,82,65,79,41,83,85,43,58,49,81,90,90,85
